file,fraud_prob,risk_level,trust_score,scam_domains,risk_signals,ocr_len,ocr_preview,message
recruitment.png,0.4209,MEDIUM,58,,,1181,"<EMAIL> 10:24 AM Subject: Job Opportunity: Project Assistant PROJECT ASSISTANT WANTED capitaldevelopment.net Full-Time Position London United Kingdom Capital Development Groupis seeking a rotivated and detail- oriented individual tojoin our tearn asaProject Assistant In this role, you will support p","AI 분석 결과, 해당 공고는 Warning 단계로 분류되었습니다. 신뢰도는 약 58%로 분석되었습니다. 뚜렷한 사기 공고 패턴 표현은 탐지되지 않았습니다."
recruitment2.png,0.8735,HIGH,13,,upfront payment; bitcoin; immediate start,807,Part-Time Data Entry Clerk Kiev Ukraine Part-Time Remote Work We are urgently hiring a Part-Time Data Entry Clerkto work rernotely Earn $300 per day processing online orders from home Nointerview required and you can start immediately! Anyone from Ukraine can apply: Job Responsibilities: Process onl,"AI 분석 결과, 해당 공고는 Danger 단계로 분류되었습니다. 신뢰도는 약 13%로 분석되었습니다. 특히 ‘upfront payment’, ‘bitcoin’, ‘immediate start’ 등 사기 공고에서 자주 사용되는 표현이 포함되어 있습니다. 또한 공고 텍스트에서 대한민국 외교부가 여행금지 지역으로 지정한 국가/지역(우크라이나)이(가) 언급되었습니다. 해당 지역과 관련된 활동은 법적·안전상의 위험이 있을 수 있으므로, 관련 정보를 충분히 확인하시기 바랍니다."
스크린샷 2026-05-08 오전 10.29.12.png,0.4929,MEDIUM,51,,,591,"Phoebe R. In 오후 1.04 Hi Chanran Your profile aligns with qualities of the Bilingual Team we are hiring at DataAnnotation We are looking for bilingual English Korean professionals to have conversations with.AI to ensure it's accuracy As member of our team you will: 1 Earn $1K+ USD per week, with bonu","AI 분석 결과, 해당 공고는 Warning 단계로 분류되었습니다. 신뢰도는 약 51%로 분석되었습니다. 뚜렷한 사기 공고 패턴 표현은 탐지되지 않았습니다."
스크린샷 2026-05-08 오전 10.29.58.png,0.1538,LOW,85,,i noticed your profile,541,CynthiaA 오전 5.00 Part time Opportunity at RWS Native Korean speakers Living in South Korea Hello Chanran My name is Cynthia from RWS Group; I'm reaching out because I noticed your profile and would like to share some exciting projects opportunities with you! Who We're Looking For: Native Korean spea,"AI 분석 결과, 해당 공고는 Good 단계로 분류되었습니다. 신뢰도는 약 85%로 분석되었습니다. 특히 ‘i noticed your profile’ 등 사기 공고에서 자주 사용되는 표현이 포함되어 있습니다."
스크린샷 2026-05-08 오전 10.30.28.png,0.2073,LOW,79,,,376,"Data services.AI Search Quality Rater Steps: Register and upload your CV Select 'private individual' in ""vendor type"" if you don't invoice Answer a small survey question Monitor your email for future communications! If you know anyone who might be interested feel free to share this information: Best","AI 분석 결과, 해당 공고는 Good 단계로 분류되었습니다. 신뢰도는 약 79%로 분석되었습니다. 뚜렷한 사기 공고 패턴 표현은 탐지되지 않았습니다."
스크린샷 2026-05-08 오전 10.34.03.png,0.1615,LOW,84,,came across your profile,730,"DEC 05, 2024 Hello Emma came across your profile while searching for like-minded professionals and must say felt an instant connection achievements are inspiring and your smile is captivating: 2 A bit about me: work as a project manager in renewable energy and frequently travel between the US. and E","AI 분석 결과, 해당 공고는 Good 단계로 분류되었습니다. 신뢰도는 약 84%로 분석되었습니다. 특히 ‘came across your profile’ 등 사기 공고에서 자주 사용되는 표현이 포함되어 있습니다."
스크린샷 2026-05-08 오전 10.34.34.png,0.2835,LOW,72,,per day,397,"quincyarlb@agencedialektaappleaccountc Hello; sorry to bother you! ['m Mila from Indeed. We'dlike to offer you an Online remote job The daily salary is $100-300, and you can work 60-90 minutes at your own time and place (paid per day) But please note: (You must be 23 years old or older) If you meet ","AI 분석 결과, 해당 공고는 Good 단계로 분류되었습니다. 신뢰도는 약 72%로 분석되었습니다. 특히 ‘per day’ 등 사기 공고에서 자주 사용되는 표현이 포함되어 있습니다."
스크린샷 2026-05-08 오전 10.34.49.png,0.4064,MEDIUM,59,,whatsapp,552,"Hello; sorry to bother you via text message Do you need a part-time job online? Indeed is hiring 50 people 23+ to optimize restaurant orders. The jobis simple. You only need to use some spare time every to increase the order volume of the restaurant, and thereis no limit on the working location Prov","AI 분석 결과, 해당 공고는 Warning 단계로 분류되었습니다. 신뢰도는 약 59%로 분석되었습니다. 특히 ‘whatsapp’ 등 사기 공고에서 자주 사용되는 표현이 포함되어 있습니다."
스크린샷 2026-05-08 오전 10.35.16.png,0.3898,MEDIUM,61,,whatsapp,617,가짜 채용 담당자 문자 메시지 videneev_93@mailru iMessage Today 7:20 AM Hello; sorry to bother you via text message. Do you need a part-time job online? Indeed is hiring 50 people 23+ to optimize restaurant orders. The jobis simple. You only need to use some spare time every day to increase the order volume of t,"AI 분석 결과, 해당 공고는 Warning 단계로 분류되었습니다. 신뢰도는 약 61%로 분석되었습니다. 특히 ‘whatsapp’ 등 사기 공고에서 자주 사용되는 표현이 포함되어 있습니다."
스크린샷 2026-05-08 오전 10.40.02.png,0.3128,LOW,69,,whatsapp,492,"Wed 6 Dec Messages and calls are end-to-end encrypted. No one outside Of this chat not even WhatsApp can read or listen tO them Learn more. Hi everyone ""m recruitment consultant. My name is Bergerlmin charge of online recruitment We currently offer part-time and full-time positions. Part time: 35-55","AI 분석 결과, 해당 공고는 Good 단계로 분류되었습니다. 신뢰도는 약 69%로 분석되었습니다. 특히 ‘whatsapp’ 등 사기 공고에서 자주 사용되는 표현이 포함되어 있습니다."
